cert,rssd,asset
58485,,645760
32363,3917051,644318
340,1133174,643529
17115,3815054,642682
20161,1105078,641427
9100,1881532,640822
34363,3428502,639973
5193,1964668,639958
19603,1107522,639172
26555,3960897,638797
4048,1062135,637799
19434,3033746,637348
9260,1248032,637263
57176,,637192
22308,2958990,635423
3091,2410304,634863
58259,3404458,634514
3228,1105528,634457
893,,634048
90140,,633779
5962,1134500,633712
11522,1065172,633327
34969,,632477
14264,2022529,632404
27211,2016340,632050
22334,1205473,631334
2987,1141870,630560
58739,4400354,629251
16265,1249646,629094
30530,3793086,628600
3182,5136810,628346
1071,1094613,628104
10973,1127146,627940
12815,1209181,627768
29140,3802858,627097
15444,2632571,626729
17230,1208933,625489
20856,1130548,624159
6959,1048728,623461
22366,2017673,623422
13953,1249703,622914
26559,,622138
15632,1205996,622017
19358,2684721,619883
26620,,619207
14017,5292707,619136
12828,1209538,619016
34319,3234682,616339
90291,4466912,615603
10214,1128581,615031
8811,2876544,614063
58727,3637939,612865
18740,1834396,612565
15684,2238544,612060
13109,1098590,611788
5907,1082692,610996
3206,1101726,610629
4178,1494343,609791
26634,4262347,607573
28530,3851388,607380
2224,1122310,606879
20268,3362923,605475
15243,1139804,605031
12611,1133165,604620
15136,3059746,604158
22139,1108659,603133
26455,,602879
13622,1054765,602858
15987,,602740
17739,3720082,601525
9359,2770660,601062
30022,3599318,600382
4465,1825367,599927
57483,3439179,599512
8745,1210244,598750
9176,5009389,598481
16001,,598213
26333,3644722,598040
25158,,596542
15932,1357121,596153
58479,4974453,595981
19532,,595631
3286,1104325,593825
12203,3696093,593763
28778,,593520
13868,1056581,590229
8439,1135806,589656
15324,1124789,588947
58310,5397219,588773
2832,1135356,587667
35412,3035049,586726
9298,2558484,585569
2476,1205473,585024
90181,3195756,584434
14885,1416701,582896
10255,4902465,582828
13107,1200405,582060
14644,1099980,582042
3195,2112439,581774
30394,2531245,581718
26543,1137538,581455
19788,2814528,580579
58165,3391727,579739
4211,1058343,579737
34384,3066922,579278
16858,1138188,578941
35456,3118513,578731
21978,,578455
17937,1098152,578186
27394,,577408
11580,1076105,576994
20310,1206546,576245
19716,1200311,575965
57953,5070192,575627
10618,1905009,575481
57603,3184219,575174
2124,2497202,575173
90308,,574634
5676,1082375,574563
29011,2395326,574313
57295,3583700,574060
30397,,573667
26590,3728930,572591
34978,2748490,571730
26181,2716471,571361
12936,1486665,570863
11860,2010759,569965
58935,4478027,568888
15465,1141601,568546
16666,1209695,567802
57706,,567465
35111,3251027,567453
35115,4265508,567159
5269,1126318,566808
3722,2577766,566772
33418,3625123,566630
25886,3193033,566367
3719,2791816,565049
3792,2107305,564587
58796,3694026,564540
34997,2881650,562473
9751,3304352,561846
4037,1055726,561815
2829,1869987,561162
35521,2877336,561055
57522,3191712,560828
14679,2326179,559687
18880,1057908,559659
17933,1891317,559585
17123,,559083
58469,,558110
57377,,557969
29632,3920118,557048
13071,1095722,556555
12165,2007647,555919
9678,1098031,555611
16982,1207712,555354
5058,1495854,554454
